tm,MVm,PVm
2.160000000000000000e+02,1.000000000000000000e+00,1.789999999999999092e-01
2.170000000000000000e+02,1.000000000000000000e+00,1.757500000000000173e-01
2.180000000000000000e+02,1.000000000000000000e+00,1.797499999999999376e-01
2.190000000000000000e+02,1.000000000000000000e+00,1.717499999999999305e-01
2.200000000000000000e+02,1.000000000000000000e+00,1.797499999999999376e-01
2.210000000000000000e+02,1.000000000000000000e+00,1.612499999999998934e-01
2.220000000000000000e+02,1.000000000000000000e+00,1.804999999999999660e-01
2.230000000000000000e+02,1.000000000000000000e+00,1.997499999999998721e-01
2.240000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.250000000000000000e+02,1.000000000000000000e+00,1.812499999999999944e-01
2.260000000000000000e+02,1.000000000000000000e+00,1.717499999999999305e-01
2.270000000000000000e+02,1.000000000000000000e+00,1.837500000000000244e-01
2.280000000000000000e+02,1.000000000000000000e+00,1.869999999999999163e-01
2.290000000000000000e+02,1.000000000000000000e+00,1.982499999999999818e-01
2.300000000000000000e+02,1.000000000000000000e+00,1.844999999999998863e-01
2.310000000000000000e+02,1.000000000000000000e+00,1.844999999999998863e-01
2.320000000000000000e+02,1.000000000000000000e+00,1.869999999999999163e-01
2.330000000000000000e+02,1.000000000000000000e+00,1.877499999999999447e-01
2.340000000000000000e+02,1.000000000000000000e+00,1.789999999999999092e-01
2.350000000000000000e+02,1.000000000000000000e+00,1.869999999999999163e-01
2.360000000000000000e+02,1.000000000000000000e+00,1.877499999999999447e-01
2.370000000000000000e+02,1.000000000000000000e+00,1.877499999999999447e-01
2.380000000000000000e+02,1.000000000000000000e+00,1.717499999999999305e-01
2.390000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
2.400000000000000000e+02,1.000000000000000000e+00,1.884999999999999731e-01
2.410000000000000000e+02,1.000000000000000000e+00,1.877499999999999447e-01
2.420000000000000000e+02,1.000000000000000000e+00,2.109999999999999376e-01
2.430000000000000000e+02,1.000000000000000000e+00,1.924999999999998934e-01
2.440000000000000000e+02,1.000000000000000000e+00,1.917500000000000315e-01
2.450000000000000000e+02,1.000000000000000000e+00,1.869999999999999163e-01
2.460000000000000000e+02,1.000000000000000000e+00,1.917500000000000315e-01
2.470000000000000000e+02,1.000000000000000000e+00,1.902499999999999747e-01
2.480000000000000000e+02,1.000000000000000000e+00,1.934999999999998666e-01
2.490000000000000000e+02,1.000000000000000000e+00,1.797499999999999376e-01
2.500000000000000000e+02,1.000000000000000000e+00,1.910000000000000031e-01
2.510000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.520000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.530000000000000000e+02,1.000000000000000000e+00,1.974999999999999534e-01
2.540000000000000000e+02,1.000000000000000000e+00,1.812499999999999944e-01
2.550000000000000000e+02,1.000000000000000000e+00,1.974999999999999534e-01
2.560000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.570000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.580000000000000000e+02,1.000000000000000000e+00,1.852499999999999147e-01
2.590000000000000000e+02,1.000000000000000000e+00,2.080000000000000182e-01
2.600000000000000000e+02,1.000000000000000000e+00,1.982499999999999818e-01
2.610000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.620000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.630000000000000000e+02,1.000000000000000000e+00,1.877499999999999447e-01
2.640000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.650000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.660000000000000000e+02,1.000000000000000000e+00,1.964999999999999802e-01
2.670000000000000000e+02,1.000000000000000000e+00,2.037499999999999589e-01
2.680000000000000000e+02,1.000000000000000000e+00,1.892500000000000016e-01
2.690000000000000000e+02,1.000000000000000000e+00,1.957499999999999518e-01
2.700000000000000000e+02,1.000000000000000000e+00,1.964999999999999802e-01
2.710000000000000000e+02,1.000000000000000000e+00,1.829999999999999960e-01
2.720000000000000000e+02,1.000000000000000000e+00,1.877499999999999447e-01
2.730000000000000000e+02,1.000000000000000000e+00,2.029999999999999305e-01
2.740000000000000000e+02,1.000000000000000000e+00,2.014999999999998737e-01
